label,text
flight_id,list all the flights that arrive at general mitchell international from various cities
flight_id,give me the flights leaving denver august ninth coming back to boston
flight_id,what flights from tacoma to orlando on saturday
fare_id,what is the most expensive one way fare from boston to atlanta on american airlines
flight_id,what flights return from denver to philadelphia on a saturday
flight_id,can you list all flights from chicago to milwaukee
flight_id,show me the flights from denver that go to pittsburgh and then atlanta
flight_id,i'd like to see flights from baltimore to atlanta that arrive before noon and i'd like to see flights from denver to atlanta that arrive before noon
flight_id,do you have an 819 flight from denver to san francisco
flight_id,can you list all round trip flights from orlando to kansas city and then to minneapolis
flight_id,show me the united flights from denver to baltimore
flight_id,i would like a us air flight from toronto to san diego with a stopover in denver please
flight_id,are there any nonstop flights leaving from denver arriving in baltimore on july seventh
flight_id,how can i get from boston to atlanta and back in the same day and have the most hours on the ground in atlanta
flight_id,are there any flights between pittsburgh and baltimore using a j31 aircraft
meal_description,what does d/s stand for for meals
flight_id,pittsburgh to boston saturday
flight_id,what are the flights from charlotte to atlanta returning on tuesday july thirteenth
fare_id,i need the cost of a ticket going from denver to baltimore a first class ticket on united airlines
flight_id,is there a flight between san francisco and boston with a stopover at dallas fort worth
flight_id,list the takeoffs and landings at general mitchell international
flight_id,what flights are there from minneapolis to newark on continental
transport_type,is there limo service at pittsburgh airport
flight_id,i need a flight from pittsburgh to los angeles thursday evening
fare_id,how much is a first class ticket from boston to san francisco
transport_type,in dallas fort worth i would like information on ground transportation
flight_id,what flights go from philadelphia to san francisco via dallas
flight_id,i'd like flights on american airlines from philadelphia philadelphia to dallas arriving before 1145am
airline_code,what airlines from washington dc to columbus
flight_id,what flights do you have in the morning of september twentieth on united airlines from pittsburgh to san francisco and a stopover in denver
fare_id,what is the cost of a round trip flight from pittsburgh to atlanta beginning on april twenty fifth and returning on may sixth
flight_id,i would like a flight from washington to boston leaving at 230 on august twentieth
flight_id,are there any nonstop flights from philadelphia to denver that arrive before 5pm
flight_id,i need a flight from baltimore to seattle
flight_id,i'd like to fly nonstop from atlanta to baltimore and get there at 7pm
flight_id,give me sunday nonstop flights from memphis to las vegas
aircraft_code,what is the type of aircraft for united flight 21
transport_type,can you give me information on transportation from the airport in philadelphia to downtown philadelphia
flight_id,list flights from phoenix to detroit on wednesday
fare_id,what is the fare going from baltimore to boston one way on november seventh
flight_id,i would like to see the flights from denver to philadelphia
